COST_ID,PROJECT_ID,COST_DATE,DUE_DATE,VENDOR_NAME,COST_TYPE,CATEGORY,INVOICE_AMOUNT,PAID_AMOUNT,STATUS,APPROVER,PAYMENT_METHOD,COST_CODE
JC-001,P003,2026-01-10,2026-02-09,Rocky Mountain Framing LLC,SUBCONTRACTOR,Framing,85000.00,85000.00,PAID,Sarah Johnson,CHECK,06-Framing
JC-002,P005,2026-01-15,2026-02-14,Continental Steel Supply,MATERIAL,Steel,128000.00,128000.00,PAID,James Wilson,WIRE,05-Steel
JC-003,P001,2026-01-20,2026-02-19,Peak Electric Co,SUBCONTRACTOR,Electrical,8500.00,8500.00,PAID,Mike Davis,CHECK,16-Electrical
JC-004,P004,2026-01-25,2026-02-24,Front Range Concrete,MATERIAL,Concrete,22000.00,22000.00,PAID,Emily Chen,ACH,03-Concrete
JC-005,P006,2026-02-01,2026-03-03,High Plains HVAC,SUBCONTRACTOR,HVAC,58000.00,58000.00,PAID,Sarah Johnson,CHECK,15-Mechanical
JC-006,P009,2026-02-05,2026-03-22,Apex Equipment Rental,EQUIPMENT,Equipment,32000.00,32000.00,PAID,Emily Chen,ACH,01-GenReq
JC-007,P010,2026-02-10,2026-03-12,Mountain Lumber Co,MATERIAL,Framing,45000.00,45000.00,PAID,James Wilson,CHECK,06-Framing
JC-008,P013,2026-02-15,2026-04-16,Summit Concrete Works,SUBCONTRACTOR,Concrete,95000.00,95000.00,PAID,Robert Brown,WIRE,03-Concrete
JC-009,P007,2026-02-20,2026-03-22,Peak Electric Co,SUBCONTRACTOR,Electrical,6500.00,6500.00,PAID,Mike Davis,CHECK,16-Electrical
JC-010,P008,2026-02-25,2026-03-27,Colorado Roofing Inc,SUBCONTRACTOR,Roofing,48000.00,48000.00,PAID,Robert Brown,ACH,07-Roofing
JC-011,P015,2026-03-01,2026-03-31,Front Range Painting,SUBCONTRACTOR,Painting,16000.00,16000.00,PAID,James Wilson,CHECK,09-Finishes
JC-012,P003,2026-03-05,2026-04-04,Apex Equipment Rental,EQUIPMENT,Equipment,24000.00,24000.00,PAID,Robert Brown,ACH,01-GenReq
JC-013,P001,2026-03-10,2026-04-09,Denver Drywall Pro,SUBCONTRACTOR,Drywall,65000.00,65000.00,PAID,Mike Davis,CHECK,09-Finishes
